adverbGroupScore,adverbAdjectiveGroupScore,verbGroupScore,emoticonScore,emoticonCount,repetitions,exclamations,fractionInCaps,adverbGroupCount,adverbAdjectiveGroupCount,verbGroupCount
0.0,0.0,-0.5549720912342724,0.0,0,0,0,0.0,0,0,25
0.0,0.0,-0.30946609834267447,0.0,0,2,1,0.0,0,0,25
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,13
0.0,0.0,0.08333333333333333,0.0,0,0,2,0.0,0,0,6
0.0,0.0,-0.34952491767241284,0.0,0,0,0,0.0,0,0,24
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,7
0.0,0.0,-0.3812500000000001,0.0,0,0,0,0.0,0,0,11
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,7
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,8
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,20
0.0,0.0,-0.25320358818945954,0.0,0,0,1,0.0,0,0,19
0.0,0.0,0.006864738652172561,0.0,0,0,1,0.0,0,0,17
0.0,0.0,0.05113636363636364,0.0,0,0,0,0.0,0,0,9
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,5
0.0,0.0,0.19318181818181818,-0.5,1,0,1,0.0,0,0,9
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,13
0.078125,-0.07922040247798173,0.0,0.0,0,0,1,0.0,1,1,9
0.0,0.0,0.125,0.0,0,0,0,0.0,0,0,5
0.0,0.0,0.028218686967179107,0.0,1,2,3,0.0,0,0,22
0.0,0.0,0.006026170798898073,0.0,0,0,0,0.0,0,0,15
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,11
0.0,0.0,0.35795454545454547,0.0,0,0,0,0.0,0,0,8
0.0,0.0,0.2262773722627737,0.0,0,2,0,0.0,0,0,8
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,12
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,6
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,10
0.0,0.0,0.22109464223645664,0.0,0,0,0,0.0,0,0,24
0.0,0.0,0.11092607899970104,0.0,0,1,2,0.0,0,0,24
0.0,0.0,0.011894305549170132,0.0,0,1,0,0.0,0,0,14
0.0,0.0,-0.0625,0.0,0,2,3,0.0,0,0,9
0.0,0.0,-0.2626663789814534,0.0,1,0,8,0.0,0,0,18
0.0,0.0,0.045535625445027095,0.0,1,0,0,0.0,0,0,26
0.0,0.0,0.25,0.0,0,0,0,0.0,0,0,3
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,20
0.0,0.0,0.02510401230278127,0.0,0,0,0,0.0,0,0,21
0.0,0.0,-0.0625,0.0,0,0,0,0.0,0,0,3
0.0,0.0,-0.039837999169120744,0.0,1,0,0,0.0,0,0,17
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,5
0.078125,0.0,-0.017045454545454548,0.0,0,0,0,0.0,1,1,24
0.0,0.0,-0.009592663305971328,0.0,0,0,0,0.0,0,0,6
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,7
0.0,0.0,0.19023722627737227,0.0,0,1,0,0.0,0,0,11
0.0,0.0,-0.0625,0.0,0,0,1,0.0,0,0,5
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,8
0.0,0.0,-0.05645407126405636,0.0,0,0,0,0.0,1,0,15
0.0,0.0,-0.4375,0.0,0,6,1,0.0,0,1,22
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,5
0.0,0.0,0.10227272727272727,0.0,1,1,2,0.0,0,1,20
0.0,0.0,0.6100000000000001,0.0,0,0,1,0.0,0,0,11
0.0,0.0,0.12573915900131405,0.0,1,0,1,0.0,0,1,16
0.0,0.0,0.25,0.0,1,0,0,0.0,0,0,13
0.0,0.0,0.0712809917355372,0.0,0,1,0,0.0,0,0,18
0.0,0.0,-0.030117338194910435,0.0,0,0,0,0.0,0,1,10
0.0,0.0,0.08333333333333333,0.0,0,2,4,0.0,0,0,7
0.0,0.0,-0.265625,0.0,0,0,0,0.0,0,0,18
0.0,0.0,0.0670748152224893,0.0,0,0,0,0.0,0,0,18
0.0,0.0,0.19023722627737227,0.0,0,0,0,0.0,0,0,18
0.0,0.0,-0.23644976948524124,0.0,0,0,0,0.0,0,0,11
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,7
0.0,0.0,0.2676040123027813,0.0,0,2,0,0.0,0,0,22
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,16
0.0,0.0,-0.010794725290195949,0.0,1,1,0,0.0,0,0,11
0.0,0.0,0.02510401230278127,0.0,0,0,0,0.0,0,0,5
0.0,0.0,0.0,0.0,0,2,0,0.0,0,0,5
0.0,0.0,0.30500000000000005,0.0,1,0,1,0.0,0,1,11
0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,2
0.0,0.0,0.07610883198312748,0.0,0,0,0,0.0,0,0,19
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,13
0.0,0.0,0.022727272727272728,0.0,0,0,0,0.0,0,0,10
0.0,0.0,0.013550230514758769,0.0,0,0,1,0.0,0,0,7
0.0,0.0,0.06694422142664544,0.0,0,0,0,0.0,0,0,9
0.0,0.0,0.01965326140735589,0.0,1,0,2,0.0,0,0,14
0.0,0.0,-0.1276842993226744,0.0,0,2,3,0.0,0,0,21
0.0,0.0,-0.017070112260864898,0.0,0,0,0,0.0,0,0,16
0.0,0.0,0.11363636363636365,0.0,0,0,0,0.0,0,0,12
0.0,0.0,0.08129741924905767,0.0,0,0,0,0.0,0,0,24
0.0,0.0,0.08333333333333333,0.0,0,0,0,0.0,0,0,11
0.0,0.0,0.0,0.0,0,0,1,0.0,1,1,12
0.0,0.0,0.04702552418107852,0.0,0,0,0,0.0,0,0,17
0.0,0.0,0.0,0.0,0,0,0,0.0,1,0,28
0.0,0.0,-0.19000000000000003,0.0,0,0,0,0.0,0,1,12
-0.04357993197278912,0.0,0.3946532614073559,0.0,0,0,1,0.0,1,0,20
0.0,0.0,0.0,0.0,0,0,3,0.0,0,0,15
0.0,0.0,-0.09000000000000001,0.0,0,0,2,0.0,0,0,21
0.0,0.0,-0.23095302666054335,0.0,0,0,0,0.0,0,0,13
0.0,0.0,0.0018423959187203348,0.0,0,0,0,0.0,0,0,14
0.0,0.0,0.0,0.0,0,2,3,0.0,0,0,13
0.0,0.0,0.24224973261274899,0.0,0,1,0,0.0,0,0,12
0.0,0.003333333333333334,0.06694422142664544,0.5,1,0,1,0.0,0,1,17
0.0,0.0,0.30500000000000005,0.0,0,0,0,0.0,0,0,17
0.0,0.0,0.10416666666666667,0.0,0,2,3,0.0,0,0,20
0.0,0.0,0.018015489623409566,0.0,0,1,0,0.0,0,0,16
0.0,0.0,0.0,0.0,0,0,0,0.0,0,1,6
0.0,0.0,0.11522521661708812,0.0,0,0,0,0.0,0,0,19
0.0,0.0,-0.09000000000000001,0.0,0,0,3,0.0,0,0,25
0.0,0.0,0.04464285714285715,0.0,0,1,0,0.0,0,0,21
0.0,0.0,0.0,0.0,2,2,4,0.0,0,2,23
0.0,0.0,-0.0013743072428529894,0.0,0,0,3,0.0,0,0,14
0.0,0.0,0.0,-0.5,1,5,5,0.0,0,1,12
0.0,0.0,0.25590474469612395,0.0,0,0,0,0.0,0,0,15
0.0,0.0,0.04780098988165132,0.0,0,0,0,0.0,0,0,14
0.0,0.0,0.0,1.0,1,0,0,0.0,0,0,11
0.0,0.07133008330396089,0.06292756814104672,0.0,0,0,0,0.0,0,2,22
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,11
0.0,0.0,0.00875932041614561,0.0,0,0,0,0.0,0,0,10
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1
0.0,0.0,0.02510401230278127,0.0,0,0,0,0.0,0,0,13
0.0,0.0,0.1068412324100807,0.0,0,1,1,0.0,0,0,21
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,12
0.0,0.0,0.375,0.0,0,0,2,0.0,0,0,20
0.0,0.0,0.0650699986973391,0.5,2,0,0,0.0,0,0,22
0.0,0.0,-0.3125,0.0,0,0,0,0.0,0,0,18
0.0,0.0,0.04317555489349025,0.0,0,0,1,0.0,0,0,17
0.0,0.0,0.012113436779615428,0.0,1,1,0,0.0,0,0,9
0.0,0.0,0.0,0.5,3,2,3,0.0,0,2,12
0.0,-0.10416666666666666,0.04702552418107852,0.0,0,0,0,0.0,0,1,20
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,6
0.0,0.0,-0.016305564667367534,0.0,0,0,0,0.0,0,0,20
0.0,0.0,0.30500000000000005,0.5,1,0,1,0.0,0,0,8
